smiles,template,compound_set,hit1
NC(=O)[C@H]1CCCN(C(=O)Cc2ccncc2Cl)C1,A4461a,openbind_a71ev2a_c2_elaborated_hits,A4461a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3nsnc23)C1,A4463a,openbind_a71ev2a_c2_elaborated_hits,A4463a
NC(=O)[C@H]1CCCN(C(=O)C2(n3cccn3)CCCC2)C1,A4467a,openbind_a71ev2a_c2_elaborated_hits,A4467a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3snnc32)C1,A4472a,openbind_a71ev2a_c2_elaborated_hits,A4472a
COc1ccccc1CC(=O)N1C[C@]2(C(N)=O)CC[C@H]1C2,A4476a,openbind_a71ev2a_c2_elaborated_hits,A4476a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,A4489a,openbind_a71ev2a_c2_elaborated_hits,A4489a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,A4489b,openbind_a71ev2a_c2_elaborated_hits,A4489b
C[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1noc2ccccc12,A4494a,openbind_a71ev2a_c2_elaborated_hits,A4494a
C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cn(C)nc1C(F)(F)F,A4510a,openbind_a71ev2a_c2_elaborated_hits,A4510a
NC(=O)[C@H]1CCCN(C(=O)C2(c3ccoc3)CCC2)C1,A4514a,openbind_a71ev2a_c2_elaborated_hits,A4514a
C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccs1,A4526a,openbind_a71ev2a_c2_elaborated_hits,A4526a
NC(=O)[C@H]1CCCN(C(=O)CN2CCOc3ccc(Cl)cc32)C1,A4528a,openbind_a71ev2a_c2_elaborated_hits,A4528a
NC(=O)[C@H]1CCCN(C(=O)C(F)(F)c2cccc(F)c2Br)C1,A4538a,openbind_a71ev2a_c2_elaborated_hits,A4538a
CS(=O)(=O)c1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4544a,openbind_a71ev2a_c2_elaborated_hits,A4544a
COc1cccc(SC)c1NC(=O)N1CCC[C@H](C(N)=O)C1,A4554a,openbind_a71ev2a_c2_elaborated_hits,A4554a
Cc1ccc2c(ccn2CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A4559a,openbind_a71ev2a_c2_elaborated_hits,A4559a
Cc1ccc2c(ccn2CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A4559b,openbind_a71ev2a_c2_elaborated_hits,A4559b
C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cn(C)nc1C(F)(F)F,A4571a,openbind_a71ev2a_c2_elaborated_hits,A4571a
NC(=O)[C@H]1CCCN(C(=O)C2(c3ccoc3)CCC2)C1,A4575a,openbind_a71ev2a_c2_elaborated_hits,A4575a
C[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccs1,A4586a,openbind_a71ev2a_c2_elaborated_hits,A4586a
NC(=O)[C@H]1CCCN(C(=O)[C@@H]2SCc3cccnc32)C1,A4606a,openbind_a71ev2a_c2_elaborated_hits,A4606a
NC(=O)[C@H]1CCCN(C(=O)[C@@H]2SCc3cccnc32)C1,A4606b,openbind_a71ev2a_c2_elaborated_hits,A4606b
Cn1cc2c(n1)CCC[C@@H]2C(=O)N1CCC[C@H](C(N)=O)C1,A4608a,openbind_a71ev2a_c2_elaborated_hits,A4608a
NC(=O)[C@H]1CCCN(C(=O)Cc2ccc(F)c(F)c2Br)C1,A4644a,openbind_a71ev2a_c2_elaborated_hits,A4644a
NC(=O)[C@H]1CCCN(C(=O)Cc2ccc(F)c(F)c2Br)C1,A4644b,openbind_a71ev2a_c2_elaborated_hits,A4644b
NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2C(F)(F)F)C1,A4650a,openbind_a71ev2a_c2_elaborated_hits,A4650a
NC(=O)[C@H]1CCCN(C(=O)Nc2cccc3c2S(=O)(=O)CCC3)C1,A4654a,openbind_a71ev2a_c2_elaborated_hits,A4654a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc3c(cc2Cl)OCCO3)C1,A4669a,openbind_a71ev2a_c2_elaborated_hits,A4669a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc3c(cc2Cl)OCCO3)C1,A4669b,openbind_a71ev2a_c2_elaborated_hits,A4669b
CSc1cccc(Br)c1CC(=O)N1CCC[C@H](C(N)=O)C1,A4670a,openbind_a71ev2a_c2_elaborated_hits,A4670a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc3c(cc2Br)OCO3)C1,A4673a,openbind_a71ev2a_c2_elaborated_hits,A4673a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc3c(cc2Br)OCO3)C1,A4673b,openbind_a71ev2a_c2_elaborated_hits,A4673b
NC(=O)[C@H]1CCCN(C(=O)CC2CSC2)C1,A4707a,openbind_a71ev2a_c2_elaborated_hits,A4707a
CSc1ccccc1CC(=O)N1CC(O)C1,A4715a,openbind_a71ev2a_c2_elaborated_hits,A4715a
CSc1ccccc1CC(=O)N1CCC[C@@H]1c1cnc[nH]1,A4735a,openbind_a71ev2a_c2_elaborated_hits,A4735a
CSc1ccccc1CC(=O)N1CC[C@@H]2[C@H](C1)[C@H]2C(N)=O,A4739a,openbind_a71ev2a_c2_elaborated_hits,A4739a
NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1,A4742a,openbind_a71ev2a_c2_elaborated_hits,A4742a
NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1,A4742b,openbind_a71ev2a_c2_elaborated_hits,A4742b
CSc1ccccc1CC(=O)N1CCc2nccc(O)c2C1,A4752a,openbind_a71ev2a_c2_elaborated_hits,A4752a
CSc1ccccc1CC(=O)N1CCc2nc[nH]c(=O)c2C1,A4771a,openbind_a71ev2a_c2_elaborated_hits,A4771a
COc1ccc(C(F)(F)F)cc1CC(=O)N1CCS[C@@H](C(N)=O)C1,A4777a,openbind_a71ev2a_c2_elaborated_hits,A4777a
COc1ccc(C(F)(F)F)cc1CC(=O)N1CCS[C@H](C(N)=O)C1,A4778a,openbind_a71ev2a_c2_elaborated_hits,A4778a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1,A4806a,openbind_a71ev2a_c2_elaborated_hits,A4806a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1,A4806b,openbind_a71ev2a_c2_elaborated_hits,A4806b
CSc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4827a,openbind_a71ev2a_c2_elaborated_hits,A4827a
CSc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4827b,openbind_a71ev2a_c2_elaborated_hits,A4827b
NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,A4838a,openbind_a71ev2a_c2_elaborated_hits,A4838a
COc1cc(Br)c(CC(=O)N2CCC[C@H](C(N)=O)C2)cc1OC,A4845a,openbind_a71ev2a_c2_elaborated_hits,A4845a
CSc1ccc(Br)cc1CC(=O)N1CC[C@H](C(N)=O)C1,A4856a,openbind_a71ev2a_c2_elaborated_hits,A4856a
NC(=O)[C@H]1CCCN(C(=O)CN2CCOc3ccc(Cl)cc32)C1,A4872a,openbind_a71ev2a_c2_elaborated_hits,A4872a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2SCCc3sccc32)C1,A4877a,openbind_a71ev2a_c2_elaborated_hits,A4877a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2SCCc3sccc32)C1,A4877b,openbind_a71ev2a_c2_elaborated_hits,A4877b
NC(=O)[C@H]1CCCN(C(=O)Cc2cc(F)c(F)cc2Br)C1,A4882a,openbind_a71ev2a_c2_elaborated_hits,A4882a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc(F)c(F)cc2Br)C1,A4882b,openbind_a71ev2a_c2_elaborated_hits,A4882b
CSc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A4883a,openbind_a71ev2a_c2_elaborated_hits,A4883a
CSc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A4883b,openbind_a71ev2a_c2_elaborated_hits,A4883b
CSc1ccccc1CC(=O)N1C[C@@H](C)C[C@H](C(N)=O)C1,A4885a,openbind_a71ev2a_c2_elaborated_hits,A4885a
