name,gnina_score,gnina_score_min,smina_score_min,min_rmsd,
P84846,5.786,5.769,-8.302,0.330
P84852,6.007,5.999,-9.196,0.531
P85774,6.463,6.311,-8.125,0.586
P87181,4.205,3.909,-4.622,1.645
P87365,6.118,6.137,-9.619,0.557
P89241,4.101,4.151,-3.967,0.606
P90249,4.353,4.426,-4.743,0.778
P90743,5.890,6.321,-8.667,0.516
P91209,6.359,6.405,-8.476,0.286
P94244,6.100,6.118,-9.533,0.234
P95226,5.877,5.685,-8.749,0.633
P95495,4.138,4.167,-4.126,1.879
P95526,5.556,6.074,-7.602,0.490
P95600,5.847,5.811,-7.398,0.472
P95617,5.394,5.518,-6.031,0.810
P95625,6.625,6.738,-9.668,0.256
P95640,6.621,6.598,-7.736,0.344
P95694,6.296,6.286,-5.691,0.332
P95695,7.023,7.117,-10.014,0.486
P95739,5.931,5.897,-8.693,0.304
P95751,5.863,5.904,-8.004,0.354
P95945,7.071,7.029,-9.781,0.386
P95947,5.330,5.399,-8.032,0.284
P96039,5.983,6.076,-7.171,0.417
P96060,6.031,6.248,-7.599,1.080
P96064,5.497,6.033,-7.557,0.442
P96076,6.170,6.245,-5.904,0.230
P96258,5.767,5.719,-7.411,0.264
P96259,5.147,4.988,-6.193,0.363
P96265,6.796,6.659,-5.369,0.374
P96266,6.391,6.309,-6.015,0.215
P96267,6.219,6.158,-7.727,0.325
P96790,3.897,4.023,-4.470,2.741
P97924,6.571,6.624,-6.916,0.481
P98028,6.668,6.696,-8.109,0.187
P98040,6.510,6.539,-8.151,0.198
P98042,7.003,7.072,-9.213,0.260
P98050,5.880,5.787,-4.876,0.576
P98060,6.270,6.174,-7.371,0.271
P98070,6.388,6.362,-9.168,0.291
P98076,5.943,6.070,-8.443,0.297
P98089,6.783,6.735,-8.316,0.313
P98094,6.319,6.050,-7.483,1.494
P98099,6.591,6.702,-7.979,0.338
P98100,6.338,6.278,-7.610,0.391
P98101,6.595,6.609,-8.795,0.254
P98102,6.227,6.273,-8.505,0.290
P98103,5.990,6.007,-7.979,0.226
P98116,6.137,6.127,-6.307,0.355
P98135,6.584,6.697,-8.667,0.278
P98170,6.737,6.798,-8.120,0.329
P98172,6.505,6.467,-7.624,0.394
P98180,6.293,6.257,-6.818,0.343
P98182,6.494,6.409,-7.915,1.196
P98183,6.201,6.174,-7.402,0.441
P98184,6.176,6.250,-6.519,0.383
P98187,6.184,6.074,-7.864,0.500
P98189,6.266,6.308,-7.086,0.290
P98415,5.794,6.212,-5.899,0.482
P98423,5.948,6.008,-6.773,0.450
P98426,6.041,6.100,-7.648,0.333
P98430,6.318,6.333,-8.316,0.303
P98490,6.151,6.279,-6.082,0.537
P98492,6.009,6.038,-7.089,0.331
P98499,6.196,6.101,-7.164,0.239
P98503,6.153,6.120,-5.586,0.595
P98519,5.139,5.444,-6.098,1.141
P98521,3.320,3.380,-3.328,1.587
P98524,6.148,6.221,-7.401,0.731
P98526,6.445,6.482,-7.543,0.277
P98528,6.343,6.344,-7.544,0.356
P98531,6.204,6.164,-7.076,0.192
P98535,5.756,5.438,-5.739,0.500
P98536,6.019,5.583,-6.714,0.781
P100415,5.986,6.178,-7.700,0.651
P100567,6.209,6.346,-8.624,0.368
P100630,6.339,6.326,-8.505,0.157
P100669,6.022,6.061,-8.280,0.162
P101303,6.018,5.988,-7.525,0.437
P101421,6.120,6.145,-6.885,0.181
P102852,4.056,4.171,-3.857,1.524
P103294,5.992,6.128,-8.714,0.468
P103515,5.912,5.898,-6.932,0.567
P103688,6.243,6.611,-7.571,0.436
P103718,6.298,6.243,-8.320,0.736
P103816,4.369,5.011,-6.947,0.949
P105016,5.871,5.855,-5.674,0.272
P105055,5.427,5.363,-6.692,0.519
P106664,5.791,5.773,-8.828,0.317
P106815,3.584,3.704,-4.307,1.832
P106864,6.284,6.268,-8.751,0.268
P108430,6.272,6.216,-7.438,0.300
P108435,6.222,6.530,-6.803,0.458
P108614,5.729,5.645,-5.387,0.381
P108646,5.862,5.864,-5.606,0.678
P108729,5.551,5.576,-6.532,0.499
P108730,5.714,5.561,-6.274,0.352
P108745,5.892,5.811,-6.780,0.274
P108764,5.824,5.862,-6.155,0.593
P109061,5.843,5.824,-8.260,0.272
P109435,5.714,5.625,-7.840,0.486
P109659,6.103,6.217,-8.385,0.330
P110324,6.127,6.183,-6.754,0.529
P110336,5.901,5.878,-6.987,0.303
P111322,4.304,4.393,-4.710,1.103
P112961,6.180,6.256,-7.475,0.247
P113124,6.194,6.104,-8.914,0.666
P114219,5.387,5.145,-6.737,0.937
P114445,6.430,6.479,-7.880,0.560
P114471,6.583,6.649,-10.576,0.311
P115222,6.312,6.652,-8.839,0.427
P116684,6.178,6.224,-7.649,0.929
P117144,6.878,6.877,-8.384,0.351
P117462,6.309,6.669,-9.024,0.615
P119597,3.838,3.865,-4.016,1.278
P119965,4.673,4.624,-4.356,1.256
P119976,3.595,3.675,-4.202,0.364
P119993,6.536,6.600,-8.694,0.812
P120019,4.440,4.490,-4.648,1.606
P120496,4.191,4.566,-4.005,1.619
P121001,6.321,6.462,-8.913,0.376
P121264,6.116,6.115,-8.697,0.208
